ticker,fiscal_period,period_end_date,accession_no,segment,metric_name,metric_value,metric_unit,source_label
DHI,Q2 FY2025,2025-04-17,0000882184-25-000018,consolidated,gross_margin_pct,21.8,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000018/a3312025exhibit991.htm
DHI,Q1 FY2025,2025-01-21,0000882184-25-000009,consolidated,net_orders_units,17837.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000009/a12312024exhibit991.htm
DHI,Q1 FY2025,2025-01-21,0000882184-25-000009,consolidated,cancellation_rate_pct,18.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000009/a12312024exhibit991.htm
DHI,Q1 FY2025,2025-01-21,0000882184-25-000009,consolidated,backlog_units,11003.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000009/a12312024exhibit991.htm
DHI,Q1 FY2025,2025-01-21,0000882184-25-000009,consolidated,closings_units,19059.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218425000009/a12312024exhibit991.htm
DHI,Q1 FY2025,2025-01-21,0000882184-25-000009,consolidated,asp_dollars,375000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218425000009/a12312024exhibit991.htm
DHI,Q1 FY2025,2025-01-21,0000882184-25-000009,consolidated,gross_margin_pct,23.5,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218425000009/a12312024exhibit991.htm
DHI,Q4 FY2024,2024-10-29,0000882184-24-000051,consolidated,net_orders_units,19035.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218424000051/a9302024exhibit991.htm
DHI,Q4 FY2024,2024-10-29,0000882184-24-000051,consolidated,cancellation_rate_pct,21.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218424000051/a9302024exhibit991.htm
DHI,Q4 FY2024,2024-10-29,0000882184-24-000051,consolidated,backlog_units,12180.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218424000051/a9302024exhibit991.htm
DHI,Q4 FY2024,2024-10-29,0000882184-24-000051,consolidated,closings_units,23647.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218424000051/a9302024exhibit991.htm
DHI,Q4 FY2024,2024-10-29,0000882184-24-000051,consolidated,asp_dollars,378000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218424000051/a9302024exhibit991.htm
DHI,Q4 FY2024,2024-10-29,0000882184-24-000051,consolidated,gross_margin_pct,24.3,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218424000051/a9302024exhibit991.htm
DHI,Q3 FY2024,2024-07-18,0000882184-24-000034,consolidated,net_orders_units,23001.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218424000034/a6302024exhibit991.htm
DHI,Q3 FY2024,2024-07-18,0000882184-24-000034,consolidated,cancellation_rate_pct,18.0,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218424000034/a6302024exhibit991.htm
DHI,Q3 FY2024,2024-07-18,0000882184-24-000034,consolidated,backlog_units,16792.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218424000034/a6302024exhibit991.htm
DHI,Q3 FY2024,2024-07-18,0000882184-24-000034,consolidated,closings_units,24155.0,units,https://www.sec.gov/Archives/edgar/data/882184/000088218424000034/a6302024exhibit991.htm
DHI,Q3 FY2024,2024-07-18,0000882184-24-000034,consolidated,asp_dollars,382000.0,usd,https://www.sec.gov/Archives/edgar/data/882184/000088218424000034/a6302024exhibit991.htm
DHI,Q3 FY2024,2024-07-18,0000882184-24-000034,consolidated,gross_margin_pct,24.8,pct,https://www.sec.gov/Archives/edgar/data/882184/000088218424000034/a6302024exhibit991.htm
LEN,Q1 2026,2026-03-12,0001628280-26-017308,consolidated,net_orders_units,18515.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828026017308/ex991-2026228x8kq1.htm
LEN,Q1 2026,2026-03-12,0001628280-26-017308,consolidated,backlog_units,15588.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828026017308/ex991-2026228x8kq1.htm
LEN,Q1 2026,2026-03-12,0001628280-26-017308,consolidated,community_count,1678.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828026017308/ex991-2026228x8kq1.htm
LEN,Q1 2026,2026-03-12,0001628280-26-017308,consolidated,closings_units,16863.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828026017308/ex991-2026228x8kq1.htm
LEN,Q1 2026,2026-03-12,0001628280-26-017308,consolidated,asp_dollars,374000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828026017308/ex991-2026228x8kq1.htm
LEN,Q1 2026,2026-03-12,0001628280-26-017308,consolidated,gross_margin_pct,15.2,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828026017308/ex991-2026228x8kq1.htm
LEN,Q4 FY2025,2025-12-16,0001628280-25-057408,consolidated,net_orders_units,20018.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025057408/ex991-20251130x8kq4.htm
LEN,Q4 FY2025,2025-12-16,0001628280-25-057408,consolidated,backlog_units,13936.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025057408/ex991-20251130x8kq4.htm
LEN,Q4 FY2025,2025-12-16,0001628280-25-057408,consolidated,community_count,1708.0,count,https://www.sec.gov/Archives/edgar/data/920760/000162828025057408/ex991-20251130x8kq4.htm
LEN,Q4 FY2025,2025-12-16,0001628280-25-057408,consolidated,closings_units,23034.0,units,https://www.sec.gov/Archives/edgar/data/920760/000162828025057408/ex991-20251130x8kq4.htm
LEN,Q4 FY2025,2025-12-16,0001628280-25-057408,consolidated,asp_dollars,386000.0,usd,https://www.sec.gov/Archives/edgar/data/920760/000162828025057408/ex991-20251130x8kq4.htm
LEN,Q4 FY2025,2025-12-16,0001628280-25-057408,consolidated,gross_margin_pct,17.0,pct,https://www.sec.gov/Archives/edgar/data/920760/000162828025057408/ex991-20251130x8kq4.htm
LEN,Q3 2025,2025-09-18,0000920760-25-000003,consolidated,net_orders_units,23004.0,units,https://www.sec.gov/Archives/edgar/data/920760/000092076025000003/ex991-2025831x8kq3.htm
LEN,Q3 2025,2025-09-18,0000920760-25-000003,consolidated,backlog_units,16953.0,units,https://www.sec.gov/Archives/edgar/data/920760/000092076025000003/ex991-2025831x8kq3.htm
