ticker,tier,subsector,directional,companyName,marketCap,sector,industry,price,beta,averageVolume,country,exchange
ALLY,5,Consumer Finance,Long,Ally Financial Inc.,13668480020,Financial Services,Financial - Credit Services,44.39,1.122,3782227,US,NYSE
NAVI,5,Consumer Finance,Long,Navient Corporation,868462213,Financial Services,Financial - Credit Services,9.24,1.2904634,1021326,US,NASDAQ
GDOT,5,Consumer Finance,Long,Green Dot Corporation,697373229,Financial Services,Financial - Credit Services,12.55,0.816,592098,US,NYSE
SOFI,5,Consumer Finance,Long,"SoFi Technologies, Inc.",20531686000,Financial Services,Financial - Credit Services,16.1,2.2508602,66681436,US,NASDAQ
LC,5,Consumer Finance,Long,LendingClub Corporation,1968443308,Financial Services,Financial - Credit Services,17.09,1.954,2249508,US,NYSE
GXO,5,Logistics,Long,"GXO Logistics, Inc.",6556478670,Industrials,Integrated Freight & Logistics,57.155,1.739,1342203,US,NYSE
XPO,5,Logistics,Long,"XPO Logistics, Inc.",25845093041,Industrials,Integrated Freight & Logistics,220.13,1.717,1787127,US,NYSE
SAIA,5,Logistics,Long,"Saia, Inc.",11969804990,Industrials,Trucking,448.82,2.04,572601,US,NASDAQ
ODFL,5,Logistics,Long,"Old Dominion Freight Line, Inc.",44265430839,Industrials,Trucking,212.38,1.2058516,2377203,US,NASDAQ
GOOGL,5,Internet/Platform,Long,Alphabet Inc.,4655096737106,Communication Services,Internet Content & Information,384.8,1.128,32330586,US,NASDAQ
META,5,Internet/Platform,Long,"Meta Platforms, Inc.",1547882840815,Communication Services,Internet Content & Information,611.91,1.309,14646434,US,NASDAQ
PINS,5,Internet/Platform,Long,"Pinterest, Inc.",13265133036,Communication Services,Internet Content & Information,19.66,0.876,19752900,US,NYSE
ANGI,5,Internet/Platform,Long,Angi Inc.,293967803,Communication Services,Internet Content & Information,7.33,1.818,1179147,US,NASDAQ
IAC,5,Internet/Platform,Long,IAC InterActive Corp.,3336190137,Technology,Internet Content & Information,44.555,1.099,1153763,US,NASDAQ
FTDR,5,Home Warranty,Long,"Frontdoor, Inc.",4812788695,Consumer Cyclical,Personal Products & Services,68.63,1.408,670293,US,NASDAQ
HMN,5,Home Warranty,Long,Horace Mann Educators Corporation,1835729315,Financial Services,Insurance - Property & Casualty,45.46,0.053,248727,US,NYSE
CTAS,5,Home Warranty,Long,Cintas Corporation,69899199770,Industrials,Specialty Business Services,174.71,1.006,2247054,US,NASDAQ
CVCO,1,Homebuilders,Long,"Cavco Industries, Inc.",3934909641,Consumer Cyclical,Residential Construction,507.0,1.332,184231,US,NASDAQ
DFH,1,Homebuilders,Long,"Dream Finders Homes, Inc.",1359356798,Consumer Cyclical,Residential Construction,14.6,1.94,636322,US,NYSE
BZH,1,Homebuilders,Long,"Beazer Homes USA, Inc.",638258602,Consumer Cyclical,Residential Construction,21.63,2.216,439244,US,NYSE
HOV,1,Homebuilders,Long,"Hovnanian Enterprises, Inc.",579818046,Consumer Cyclical,Residential Construction,112.51,2.076,108716,US,NYSE
LEGH,1,Homebuilders,Long,Legacy Housing Corporation,517918417,Consumer Cyclical,Residential Construction,21.75,0.765,105118,US,NASDAQ
MRP,2,SFR REITs,Complex,"Millrose Properties, Inc.",4728813650,Real Estate,REIT - Residential,30.67,0.2931401,1373424,US,NYSE
UMH,2,SFR REITs,Complex,"UMH Properties, Inc.",1326189303,Real Estate,REIT - Residential,15.56,1.02,554522,US,NYSE
FOR,1,Land Developers,Long,Forestar Group Inc.,1440995775,Real Estate,Real Estate - Development,28.25,1.445,152690,US,NYSE
HHH,1,Land Developers,Long,Howard Hughes Holdings Inc.,3713552401,Real Estate,Real Estate - Diversified,62.27,1.279,495308,US,NYSE
JOE,1,Land Developers,Long,The St. Joe Company,3718518482,Real Estate,Real Estate - Diversified,64.62,1.393,224990,US,NYSE
W,2,Home Furnishings,Long,Wayfair Inc.,8358492433,Consumer Cyclical,Specialty Retail,63.93,3.307,3840849,US,NYSE
BOBS,2,Home Furnishings,Long,"Bob's Discount Furniture, Inc.",1401445895,Consumer Cyclical,Specialty Retail,10.75,0.0,1451853,US,NYSE
OPAD,1,RE Brokerages,Long,Offerpad Solutions Inc.,24823956,Real Estate,Real Estate - Services,0.8011,2.423,988578,US,NYSE
CBRE,3,RE Services,Long,"CBRE Group, Inc.",41828908450,Real Estate,Real Estate - Services,142.85,1.348,2489483,US,NYSE
JLL,3,RE Services,Long,Jones Lang LaSalle Incorporated,14772031429,Real Estate,Real Estate - Services,318.41,1.414,553298,US,NYSE
NMRK,3,RE Services,Long,"Newmark Group, Inc.",2973620726,Real Estate,Real Estate - Services,16.12,1.832,1716237,US,NASDAQ
PNC,3,Banks,Long,"The PNC Financial Services Group, Inc.",89975912285,Financial Services,Banks - Regional,223.06,0.956,2568329,US,NYSE
MTB,3,Banks,Long,M&T Bank Corporation,32560970000,Financial Services,Banks - Regional,218.53,0.598,1225240,US,NYSE
FCNCA,3,Banks,Long,"First Citizens BancShares, Inc.",23071816230,Financial Services,Banks - Regional,1985.795,0.647,98747,US,NASDAQ
WBS,3,Banks,Long,Webster Financial Corporation,11724563160,Financial Services,Banks - Regional,72.36,1.029,4829075,US,NYSE
WTFC,3,Banks,Long,Wintrust Financial Corporation,10154034261,Financial Services,Banks - Regional,150.57,0.855,494827,US,NASDAQ
BPOP,3,Banks,Long,"Popular, Inc.",9769766304,Financial Services,Banks - Regional,150.33,0.614,557480,US,NASDAQ
SSB,3,Banks,Long,SouthState Corporation,9580331303,Financial Services,Banks - Regional,97.69,0.746,909224,US,NYSE
WAL,3,Banks,Long,Western Alliance Bancorporation,8959533660,Financial Services,Banks - Regional,81.54,1.366,1436680,US,NYSE
PNFP,3,Banks,Long,"Pinnacle Financial Partners, Inc.",7599345149,Financial Services,Banks - Regional,98.87,0.999,1553555,US,NASDAQ
FNB,3,Banks,Long,F.N.B. Corporation,6346947300,Financial Services,Banks - Regional,17.845,0.896,7930491,US,NYSE
HOMB,3,Banks,Long,"Home Bancshares, Inc.",5428658363,Financial Services,Banks - Regional,26.87,0.744,1523263,US,NYSE
OZK,3,Banks,Long,Bank OZK,5266046810,Financial Services,Banks - Regional,48.15,0.92,1268572,US,NASDAQ
TCBI,3,Banks,Long,"Texas Capital Bancshares, Inc.",4397663557,Financial Services,Banks - Regional,100.7,0.671,490352,US,NASDAQ
UBSI,3,Banks,Long,"United Bankshares, Inc.",6118986510,Financial Services,Banks - Regional,43.81,0.749,940190,US,NASDAQ
ABCB,3,Banks,Long,Ameris Bancorp,5816518800,Financial Services,Banks - Regional,85.2,0.936,591182,US,NYSE
FLG,3,Banks,Long,"Flagstar Financial, Inc.",5807263201,Financial Services,Banks - Regional,13.96,1.022,5453144,US,NYSE
HWC,3,Banks,Long,Hancock Whitney Corporation,5505206240,Financial Services,Banks - Regional,67.51,1.032,860468,US,NASDAQ
